Date,Symbol,Open,High,Low,Close
1/7/2019,BTCUSD,4038.41,4071.42,3968.81,4004.9
1/6/2019,BTCUSD,3796.4,4080.29,3754.96,4038.41
1/5/2019,BTCUSD,3823,3872.92,3777.38,3796.4
1/4/2019,BTCUSD,3785.63,3849.99,3729.52,3823
1/3/2019,BTCUSD,3889.1,3892.77,3756.19,3785.63
1/2/2019,BTCUSD,3823.17,3914.34,3769.45,3889.1
1/1/2019,BTCUSD,3689.38,3840.47,3634.52,3823.17
12/31/2018,BTCUSD,3830.74,3837.81,3631.53,3689.38
12/30/2018,BTCUSD,3726.12,3862.88,3686.81,3830.74
12/29/2018,BTCUSD,3889.87,3938.73,3697.21,3726.12
12/28/2018,BTCUSD,3594.77,3958.09,3575,3889.87
12/27/2018,BTCUSD,3807.11,3840.83,3560.21,3594.77
12/26/2018,BTCUSD,3780.76,3862.03,3686.05,3807.11
12/25/2018,BTCUSD,4034.06,4044.28,3677.76,3780.76
12/24/2018,BTCUSD,3945.77,4237,3944.75,4034.06
12/23/2018,BTCUSD,3993.13,4051.09,3909.07,3945.77
12/22/2018,BTCUSD,3838.3,4012.38,3790.42,3993.13
12/21/2018,BTCUSD,4137.48,6222.02,2021.83,3838.3
12/20/2018,BTCUSD,3688.22,5065.94,3663.49,4137.48
12/19/2018,BTCUSD,3668.58,3919.72,3645.42,3688.22
12/18/2018,BTCUSD,3498.93,3681.9,3435.61,3668.58
12/17/2018,BTCUSD,3195.24,3585.07,3180.32,3498.93
12/16/2018,BTCUSD,3182.83,3260.23,3179.99,3195.24
12/15/2018,BTCUSD,3192.8,3228.81,3124.82,3182.83
12/14/2018,BTCUSD,3263.05,3294.35,3136.64,3192.8
12/13/2018,BTCUSD,3430.05,3440.16,3225.6,3263.05
12/12/2018,BTCUSD,3348.03,3489.28,3326.73,3430.05
12/11/2018,BTCUSD,3413.83,3574.97,3291.83,3348.03
12/10/2018,BTCUSD,3532,3587.13,3354.56,3413.83
12/9/2018,BTCUSD,3397.92,3637.58,3374.79,3532
12/8/2018,BTCUSD,3380.06,3493.39,3243.5,3397.92
12/7/2018,BTCUSD,3442.12,3551.43,3210.05,3380.06
12/6/2018,BTCUSD,3690.26,3848,3424.77,3442.12
12/5/2018,BTCUSD,3902.9,3916,3669.51,3690.26
12/4/2018,BTCUSD,3834.21,4037.87,3725,3902.9
